name,k_color,m,m_r,m_c,A,Sc,St,Jc,Jt,m_dS,s_dS,cv_dS,m_dL,s_dL,cv_dL
Amphichaetodon_Amphichaetodon_howensis_-1464681654,3,0.079174253,0.102988506,0.05536,1.860341506,1.600699207,2.027151802,0.533566402,0.675717267,0.077155097,0.032085186,0.415853097,1.195056065,0.360221078,0.301426091
Amphichaetodon_Amphichaetodon_melbae_-1115161976,3,0.08776,0.115666667,0.059853333,1.932501671,1.928127684,2.263340393,0.642709228,0.754446798,0.123796683,0.075937377,0.613403969,1.361260159,0.496651236,0.36484667
Chaetodon_Chaetodon_adiergastos_1979529705,3,0.09581844,0.096170213,0.095466667,1.007369547,2.62559081,1.935920941,0.875196937,0.64530698,0.234066679,0.159946703,0.683338197,1.206224305,0.523565929,0.43405354
Chaetodon_Chaetodon_andamanensis_-322272266,3,0.099559759,0.087721519,0.111398,0.787460448,2.518266816,2.103919978,0.839422272,0.701306659,0.106246124,0.11079113,1.042778086,0.767722494,0.207974362,0.270897835
Chaetodon_Chaetodon_argentatus_1074668308,3,0.106173391,0.116436782,0.09591,1.214021287,1.92549404,2.437007956,0.641831347,0.812335985,0.26556182,0.219124975,0.825137344,1.411601056,0.5144154,0.364419818
Chaetodon_Chaetodon_aureofasciatus_1459626629,3,0.072199558,0.077821782,0.066577333,1.168893049,2.509109018,2.227570627,0.836369673,0.742523542,0.092606764,0.020227878,0.21842765,1.238027492,0.442164827,0.357152672
Chaetodon_Chaetodon_auriga_843681634,3,0.087152778,0.086944444,0.087361111,0.995230525,2.595613353,2.171720375,0.865204451,0.723906792,0.321704446,0.022880943,0.071124112,1.174575822,0.568500098,0.484004597
Chaetodon_Chaetodon_auripes_1839596140,3,0.15006025,0.144375,0.1557455,0.926993075,2.225502985,2.51522767,0.741834328,0.838409223,0.116375579,0.064026472,0.550171031,1.047519254,0.412026671,0.393335654
Chaetodon_Chaetodon_austriacus_-1737564550,3,0.109952146,0.095063291,0.124841,0.761474925,2.408993245,2.440952885,0.802997748,0.813650962,0.262230337,0.09731822,0.371117319,1.260174702,0.47596429,0.377697068
Chaetodon_Chaetodon_baronessa_918345433,3,0.145102846,0.170210526,0.119995167,1.418478186,2.173117813,2.38938946,0.724372604,0.796463153,0.023464308,0.01049813,0.447408455,1.065709637,0.406671552,0.381596955
Chaetodon_Chaetodon_bennetti_711591108,3,0.080074974,0.083103448,0.0770465,1.078614191,2.450450492,2.122453272,0.816816831,0.707484424,0.233864687,0.138269626,0.591237726,1.041783903,0.552085774,0.5299427
Chaetodon_Chaetodon_blackburnii_300609141,2,0.045964332,0.046486486,0.045442177,1.022981065,1.55441347,1,0.777206735,1,0.119952793,NA,NA,1.990297365,NA,NA
Chaetodon_Chaetodon_burgessi_001,2,0.078224745,0.085806452,0.070643038,1.21464838,1.95259938,1,0.97629969,1,0.044453376,NA,NA,2.083874345,NA,NA
Chaetodon_Chaetodon_capistratus_002,3,0.160954739,0.152658228,0.16925125,0.901962188,2.592597608,1.742503959,0.864199203,0.580834653,0.049466403,0.039864285,0.805886072,1.085162798,0.6341136,0.58434882
Chaetodon_Chaetodon_citrinellus_-1736280642,3,0.0898645,0.087875,0.091854,0.956681255,2.558392102,2.006811296,0.852797367,0.668937099,0.067640341,0.050337961,0.744200275,1.02265096,0.632793535,0.618777628
